 rec_name,rec_instructions,cooking_time,serving_pax,cuisine,rec_type,ingredients,quantity,rec_photo
Light Oat Bread  ,Add ingredients to bread machine pan in order recommended by your manufacturer. Use regular light setting.,185,2,Western,Breakfast,"Water,Margarine,Salt,Flour,Oat,Brown Sugar,Yeast","295.7,28.3,4.9,384,100,28.3,7.5",https://images.media-allrecipes.com/userphotos/560x315/257322.jpg
Albondigas Soup III  ,"Pour the water into a large pot over high heat and bring to a boil.
Meanwhile, in a large bowl, combine the ground beef, rice, egg, oregano, garlic salt, ground black pepper and cumin. Mix well and form into 1 inch meatballs.
Roll the meatballs in the flour, coating well, and carefully drop them in the boiling water. Reduce heat to low and simmer for 45 minutes, stirring frequently, and making sure soup does not get too thick.
Add more water, if necessary, and add the potatoes to the soup. Simmer for 1 more hour, or until potatoes are tender. Season with salt and pepper to taste.
",110,4,Mexican,Dinner,"Water,Ground Beef,Rice,Egg,Oregano,Salt,Black Pepper,Cumin,Flour,Potato,Pepper","1892.7,453.6,113,1,28.3,8.4,8.4,1.42,113,198.1,1",https://images.media-allrecipes.com/userphotos/560x315/3442121.jpg
Individual Beef Wellingtons  ,"'In a large skillet over medium heat, combine the mushrooms, onion, sherry, butter or margarine and parsley and saute until all the liquid is absorbed and the mixture resembles a paste. Cover the top of each steak with the mixture.",45,3,Western,Dinner,"Mushroom,Onion,Sherry,Butter,Parsley,Beef Tenderloin,Pastry","453.6,52,118.3,57,57,226.8,1",https://images.media-allrecipes.com/userphotos/560x315/4460127.jpg
Jan's Chocolate Cake,"Preheat oven to 350 degrees F (175 degrees C). If using layers, grease and line the pans with parchment paper.  If using a 9 X 13 pan, grease and dust with cocoa powder. Sift together the cocoa, flour, baking soda and salt. Set aside.
In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the eggs one at a time.  Alternately beat in the flour mixture and the buttermilk, mixing just until incorporated. Add the boiling water and beat for one full minute.
Bake in the preheated oven for 30 to 40 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.
",50,20,Western,Dessert,"Butter,White Sugar,Egg,Buttermilk,Cocoa Powder,Flour,Baking Soda,Salt,Water","128,256,2,236.6,113,591.5,8.4,2.5,236.6",https://images.media-allrecipes.com/userphotos/250x250/360092.jpg
Corn Cornbread  ,"Preheat oven to 375 degrees F (190 degrees C). Grease a 9x5 inch loaf pan.
In a large bowl, mix together corn, sour cream, eggs and melted butter. Gradually stir in the cornmeal, sugar and applesauce. Pour into the prepared pan.
Bake at 375 degrees F (190 degrees C) for 25 minutes, or until a toothpick inserted into the center of the loaf comes out clean.",35,7,Western,Breakfast,"Corn,Sour Cream,Egg,Butter,Cornmeal,White Sugar,Applesauce","425.2,128,2,57,160,14.3,28.6",https://images.media-allrecipes.com/userphotos/250x250/685576.jpg
Baked Sesame Chicken  ,"Preheat oven to 400 degrees F (200 degrees C).
Place soy sauce in a 9x13 inch baking dish. On a piece of wax paper, mix together the sesame seeds, flour, salt and pepper. Dip the chicken pieces in the soy sauce to coat, then dredge in the sesame seed mixture. Arrange in baking dish in a single layer, then drizzle with melted butter.
Bake at 400 degrees F (200 degrees C) for approximately 40 minutes, or until chicken is cooked through and tender and juices run clear. Baste with drippings once during cooking time. Garnish with extra sesame seeds if desired, and serve.",45,2,Chinese,Dinner,"Soy Sauce,Sesame,Flour,Salt,Black Pepper,Chicken,Butter","29.6,35.5,15,1.5,1,688,28.4",https://images.media-allrecipes.com/userphotos/560x315/2187003.jpg
Bourbon Whipped Cream  ,"In a medium bowl, whip cream until soft mounds form. Gradually add sugar, whipping until cream forms stiff peaks. Gently fold in bourbon. Chill until ready to serve.",5,2,Western,Dessert,"Whipping Cream,White Sugar,Bourbon","240,25,22.2",https://images.media-allrecipes.com/userphotos/560x315/1749752.jpg
Spicy Potato Soup I  ,"In a saucepan, fry potatoes in oil until golden brown.
Stir in peppers, water, and seasonings.  Cover, and simmer until potatoes are tender.",50,6,Western,Dinner,"Potato,Bell Pepper,Chili,Salt,Black Pepper,Paprika,Vegetable Oil,Water","271.7,238,9.15,3,3,3,29.6,1892.8",https://images.media-allrecipes.com/userphotos/560x315/712487.jpg
Fish Chowder I  ,"In a large stock pot cover potatoes with enough water so they are fully covered.  Bring to boil, then reduce to a simmer.
In a saute pan cook onion and bacon, over medium heat, until onions are soft.  Add to potato mixture.
Once potatoes become soft, and the broth has a milky look to it, add cut up fish fillets.  Heat until fish fillets are cooked through.
Add enough milk product to bring soup to your desired taste and texture.  Season with white pepper and serve.",45,4,Western,Dinner,"Potato,Onion,Bacon,Haddock,Milk,Pepper","158.48,123,32,113.4,118.3,1.25",https://images.media-allrecipes.com/userphotos/560x315/776279.jpg
Peanut Butter Cup Bars  ,"Line the bottom of a 10x15 inch jellyroll pan with graham crackers. In a medium bowl, cream together the butter, confectioners'' sugar and peanut butter until smooth. Spread over the graham crackers, and chill until firm, about 15 minutes.
Melt chocolate chips in a bowl over simmering water or in the microwave oven, stirring frequently. Spread over the layer of chilled peanut butter mixture. Refrigerate until firm, then cut into squares. These keep well placed between sheets of waxed paper in an air-tight container in the fridge.",165,12,Western,Dessert,"Crackers,Butter,Sugar,Peanut Butter,Chocolate","128,151.2,402,240,320",https://images.media-allrecipes.com/userphotos/560x315/810368.jpg
Extra Easy Hummus  ,"In a blender or food processor combine garbanzo beans, garlic, cumin, salt and olive oil.  Blend on low speed, gradually adding reserved bean liquid, until desired consistency is achieved.",5,4,Others,Snack,"Bean,Garlic,Cumin,Salt,Peanut Oil","425.2,5,8.4,2.5,14.8",https://images.media-allrecipes.com/userphotos/560x315/588854.jpg
Grilled Marinated Salmon  ,"In a medium bowl, combine the soy sauce, vinegar, sugar, oil, mustard powder, ginger and ground black pepper.
Place the salmon in a shallow, nonporous dish and pour the marinade over the salmon. Cover and marinate in the refrigerator for at least 1 hour, turning occasionally.
Preheat an outdoor grill for medium high heat and lightly oil grate.
Grill the fish for about 3 to 4 minutes per side, or to desired doneness.",105,4,Western,Dinner,"Soy Sauce,Rice Vinegar,White Sugar,Vegetable Oil,Mustard,Ginger,Black Pepper,Salmon","59.1,59.1,25,29.6,4.9,4.9,4.9,907.2",https://images.media-allrecipes.com/userphotos/560x315/72953.jpg
Beef Bourguignon II  ,"In a small bowl, combine the flour, salt and ground black pepper. Coat the beef cubes with this mixture.
Melt the butter or margarine in a large skillet over medium high heat. Add the meat and brown well on all sides. Pour this into a 2 quart casserole dish.
Return the skillet to the heat and add the onion, carrots and garlic to it. Saute for 5 to 10 minutes, or until onion is tender. add the wine, bay leaf, parsley, thyme, and liquid from the mushrooms. Pour over meat.
Bake, covered, at 350 degrees F (175 degrees C) for 2 1/2 hours. Remove cover, add canned onions and mushroom crowns, and bake for 30 more minutes.",200,2,Western,Lunch,"Flour,Salt,Black Pepper,Meat,Butter,Onion,Carrot,Garlic,Red Wine,Bay Leaf,Parsley,Thyme,Mushroom","30,4.92,2.46,907.2,56.7,250,575.6,5,473.4,5,42.52,2.5,170.1",https://images.media-allrecipes.com/userphotos/560x315/282766.jpg
Allison's Pasta Salad,"Cook pasta in a large pot of boiling water until al dente. Drain, and rinse in cold water.
In a small bowl, mix together mayonnaise, sour cream, cider vinegar, mustard, sugar, black pepper, dill weed, and salt.
In a large bowl, combine pasta, grapes, ham, green onions, and cheese.  Toss with dressing.  Cover, and chill overnight or for at least 6 hours.",30,8,Western,Lunch,"Pasta,Mayonnaise,Sour Cream,Vinegar,Mustard,White Sugar,Black Pepper,Dill,Salt,Grape,Ham,Green Onion,Cheddar","350,115,115,29.6,22.5,4.92,2.46,1.23,1.23,200,200,52,200",https://images.media-allrecipes.com/userphotos/560x315/1122959.jpg
Delicious Southern Cornbread  ,"Preheat oven to 400 degrees F (200 degrees C). In an 8 inch cast iron skillet, heat vegetable oil over low heat.
In a medium bowl, mix together cornmeal, buttermilk, egg and honey. Carefully stir in the hot oil. Sprinkle skillet with remaining 1 tablespoon corn meal. Spoon mixture into skillet.
Bake in preheated oven for 22 minutes, or until firm. Serve hot.",30,,,,"Vegetable Oil,Cornmeal,Buttermilk,Egg,Honey,Cornmeal",,https://images.media-allrecipes.com/userphotos/560x315/4468174.jpg
Hot Dog Noodle Casserole  ,"Prepare spinach according to package directions. Drain and spread in the bottom of a lightly greased 9x13-inch baking dish.
Bring a large pot of lightly salted water to a boil. Add egg noodles and cook for 8 to 10 minutes or until al dente. Drain and place on top of spinach in baking dish.
Preheat oven to 350 degrees F (175 degrees C).
In a large bowl combine the soup, milk, sour cream and hot dogs. Mix together and place mixture on top of noodles.
Cover dish with aluminum foil and bake at 350 degrees F (175 degrees C) for about 45 minutes, or until heated through. Sprinkle with peas and bacon and heat in oven until peas are just hot.",80,,,,"Spinach,Noodle,Mushroom,Milk,Sour Cream,Ice,Pea,Bacon",,https://images.media-allrecipes.com/userphotos/560x315/2193273.jpg
Zesty Porcupine Meatballs  ,"Lightly beat egg with a fork, then add a heaping tablespoon of the soup and mix lightly. Mix in rice, onion, parsley, onion salt and pepper. Stir in the ground beef and mix well with hands. From mixture into 1 1/2 inch round meatballs.
Coat a large skillet over medium heat with cooking spray. Cook meatballs and brown on all sides.
Combine remaining soup with Worcestershire (you can increase or decrease Worcestershire to your liking), stir until smooth, then spoon over meatballs. Cover with lid and simmer for 20 to 30 minutes, stirring every few minutes.",40,,,,"Egg,Tomato,Rice,Onion,Parsley,Onion,Black Pepper,Ground Beef,Worcestershire Sauce",,https://images.media-allrecipes.com/userphotos/250x250/709422.jpg
Harvest Rice Dish  ,"Place almonds on an ungreased baking sheet. Toast at 350 degrees F (175 degrees C) for 5 to 8 minutes.
Mix broth, brown rice, and wild rice in a medium saucepan, and bring to boil. Reduce heat to low, cover, and simmer 45 minutes, until rice is tender and broth is absorbed.
In medium skillet, melt butter over medium-high heat. Add onions and brown sugar. Saute until butter is absorbed and onions are translucent and soft. Reduce heat, and cook onions for another 20 minutes, until they are caramelized.
Stir cranberries and mushrooms into the skillet. Cover, and cook 10 minutes or until berries start to swell. Stir in almonds and orange zest, then fold the mixture into the cooked rice. Salt and pepper to taste.",105,,,,"Almond,Chicken Broth,Brown Rice,Wild Rice,Butter,Onion,Brown Sugar,Cranberry,Mushroom,Orange,Pepper",,https://images.media-allrecipes.com/userphotos/560x315/4588147.jpg
Tasty Orange Chops  ,"In a mixing bowl, mix together vinegar, soy sauce, orange juice, onion, rosemary, sage, salt, garlic, and barbecue sauce. Place chops in a large resealable plastic bag. Pour in the marinade, and seal. Refrigerate for 6 to 8 hours, or overnight.
Preheat grill for high heat. Transfer marinade to a small saucepan, bring to a boil, and cook for several minutes.
Lightly oil preheated grill. Grill chops for 6 to 8 minutes, turning once, or to desired doneness. Brush cooked marinade over chops during the final minutes of cooking.",383,,,,"Vinegar,Soy Sauce,Orange Juice,Onion,Rosemary,Sage,Salt,Garlic,Sauce,Pork Chop",,https://images.media-allrecipes.com/userphotos/250x250/558649.jpg
Grilled Pork Tenderloin  ,"Prepare grill for indirect heat.
Season meat with garlic powder, salt, and pepper.
Lightly oil grate. Place tenderloin on grate, and position drip pan under meat. Cook over indirect heat for 30 minutes.
Brush tenderloin with barbeque sauce. Continue cooking for 15 minutes, or until an instant-read thermometer inserted into the center reads 145 degrees F (63 degrees C). Allow pork to rest for 10 minutes. Slice pork, and serve with additional barbeque sauce for dipping.",55,,,,"Pork Tenderloin,Garlic,Salt,Black Pepper,Sauce",,https://images.media-allrecipes.com/userphotos/560x315/2354433.jpg
Seven Layer Bars  ,"Preheat oven to 350 degrees F (180 degrees C).
Place butter in 13 x 9 inch pan and melt in oven. Swirl to coat bottom and sides with butter.
Spread graham cracker crumbs evenly over bottom of pan. Layer chocolate chips, butterscotch chips, and nuts over crumbs. Pour condensed milk over nuts. Sprinkle coconut over condensed milk.
Bake until edges are golden brown, about 25 minutes. Let cool before cutting into bars.",60,,,,"Butter,Ham,Chocolate,Butter,Walnut,Milk,Coconut",,https://images.media-allrecipes.com/userphotos/560x315/3624058.jpg
Mom's Chicken,"Preheat oven to 350 degrees F (175 degrees C).
In a medium bowl, combine the barbecue sauce, plum jam and onion soup mix. Place the chicken pieces in a 9x13 inch baking dish and pour mixture over the chicken, coating thoroughly.
Bake at 350 degrees F (175 degrees C) for about 1 hour, or until chicken juices run clear.",75,,,,"Chicken,Barbecue Sauce,Plum,Onion",,https://images.media-allrecipes.com/userphotos/560x315/590645.jpg
Asian Chicken Salad  ,"Prepare the dressing 30 minutes ahead of time by combining the brown sugar, soy sauce, sesame oil, salad oil, and rice vinegar in a salad dressing carafe.
To prepare the Chinese rice noodles, heat a skillet with a few tablespoons of oil and break off a little bit of the noodles and add them to the skillet and fry them. They will puff up in the skillet, so only add a few at a time. As they begin to puff up, remove and drain them on paper towels. Be sure to cook long enough as the under cooked noodles will be like eating needles. Once cooked, add them to the salad mixture.
In a large bowl combine the iceberg lettuce, cooked and shredded chicken, green onions and  toasted sesame seeds. Let chill about 10 minutes,  and just before serving add the cooked rice noodles. Serve in salad bowls and offer the dressing in a pourable container so your family can add as much dressing as they want. You can also pour the dressing over the top of the salad, toss, and serve immediately.",35,,,,"Brown Sugar,Soy Sauce,Sesame Oil,Vegetable Oil,Rice Vinegar,Noodle,Lettuce,Chicken,Green Onion,Sesame",,https://images.media-allrecipes.com/userphotos/560x315/4005100.jpg
Cocoa Fried Chicken  ,"Mix flour and cocoa powder in a shallow dish or plate. One by one, coat chicken pieces in flour mixture, then dip in beaten egg, then in seasoned bread crumbs.
Heat oil in a cast iron skillet to 350 degrees F (175 degrees C).
Fry coated chicken pieces in oil until cooked through and juices run clear (approximately 5 minutes). Drain on paper towels.",30,,,,"Flour,Cocoa Powder,Chicken,Egg,Bread,Olive",,https://images.media-allrecipes.com/userphotos/560x315/1058888.jpg
Pumpkin Bread VI  ,"Preheat an oven to 350 degrees F (175 degrees C).
Mix together flour, salt, baking soda, baking powder, allspice and nutmeg. In a large bowl, beat together vegetable oil, brown sugar, eggs, orange juice and pumpkin. Stir flour mixture into pumpkin mixture until just combined. Pour batter into prepared loaf pan.
Bake in preheated oven for 50 to 60 minutes, until a toothpick inserted into center of the loaf comes out clean.",75,,,,"Flour,Whole Wheat,Salt,Baking Soda,Baking Powder,Spice,Nutmeg,Vegetable Oil,Brown Sugar,Egg,Orange Juice,Pumpkin",,https://images.media-allrecipes.com/userphotos/250x250/133124.jpg
Slim Soup  ,"In a large pot over high heat, combine the bouillon, carrots, tomatoes, onion, celery, green bell pepper, cabbage, basil, garlic, Italian-style seasoning and water. Bring to a boil, reduce heat to low and simmer for 30 to 45 minutes, or until all vegetables are to desired tenderness.",60,,,,"Chicken,Carrot,Tomato,Onion,Celery,Bell Pepper,Cabbage,Basil,Garlic,Tea,Water",,https://images.media-allrecipes.com/userphotos/560x315/620589.jpg
Cabbage Salad I  ,"In a large bowl, combine the cabbage, carrots, green onion and mayonnaise. Salt and pepper to taste, toss and serve.",15,,,,"Cabbage,Carrot,Green Onion,Mayonnaise,Pepper",,https://images.media-allrecipes.com/userphotos/560x315/1134194.jpg
Fish In A Vegetable Patch  ,"In a small sauce pan, combine the tomato sauce, celery, green pepper, onion, carrots, lemon juice, Worcestershire sauce and salt. Bring to a boil. Reduce heat and simmer, covered, for 5 minutes.
Spoon vegetable mixture into a shallow 1 1/2 quart baking dish. Place fish filets over vegetables and spoon some of the sauce over the fish.
Bake, uncovered, at 400 degrees F (205 degrees C) for about 15 minutes or until fish flakes with a fork. Garnish with lemon twists and chopped celery.",40,,,,"Tomato Sauce,Celery,Bell Pepper,Onion,Carrot,Lemon Juice,Worcestershire Sauce,Salt,Halibut,Lemon",,https://images.media-allrecipes.com/userphotos/560x315/436325.jpg
Hamburger Soup II  ,"Place ground beef in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, crumble, and set aside.
Place a the potatoes in a layer to cover the bottom of the slow cooker. Sprinkle the celery over the potatoes, and cover with a layer of ground beef. Season each layer with salt and pepper. Throw in the carrots, onions and peas. Mix together the tomato soup and water, and pour over the top. Cover, and set to low for 6 to 8 hours.",505,,,,"Ground Beef,Potato,Celery,Pepper,Onion,Pea,Carrot,Tomato,Water",,https://images.media-allrecipes.com/userphotos/560x315/771601.jpg
Baked Fish Dinner For Two  ,"Preheat oven to 425 degrees F (220 degrees C).  Lightly oil a shallow, 2 quart baking dish.
In a medium bowl, toss the potatoes with 2 tablespoons olive oil to coat evenly. Season with salt and pepper. Spread potatoes in baking dish with 1/4 cup water.  Cover, and bake for 15 minutes.
Combine bell peppers, leek, zucchini, and celery in a medium bowl. Toss with garlic and 2 tablespoons olive oil,.  Season to taste with salt and pepper.  Spread vegetables over potatoes, add another 1/4 cup water, and cover.  Bake for 10  to 15 minutes.
Rinse, and cut fish into 1 to 1 1/2 inch cubes, and spread over vegetables.  Cover.  Bake for 10 minutes, or until fish flakes easily.  Serve with tomato and parsley or fennel garnish.",75,,,,"Olive,Potato,Pepper,Water,Bell Pepper,Leek,Zucchini,Celery,Garlic,Fish,Tomato,Parsley",,https://images.media-allrecipes.com/userphotos/560x315/5193867.jpg
Eggs Benedict  ,"To Make Hollandaise: Fill the bottom of a double boiler part-way with water. Make sure that water does not touch the top pan. Bring water to a gentle simmer. In the top of the double boiler, whisk together egg yolks, lemon juice, white pepper, Worcestershire sauce, and 1 tablespoon water.
Add the melted butter to egg yolk mixture 1 or 2 tablespoons at a time while whisking yolks constantly. If hollandaise begins to get too thick, add a teaspoon or two of hot water. Continue whisking until all butter is incorporated. Whisk in salt, then remove from heat. Place a lid on pan to keep sauce warm.
Preheat oven on broiler setting. To Poach Eggs: Fill a large saucepan with 3 inches of water. Bring water to a gentle simmer, then add vinegar. Carefully break eggs into simmering water, and allow to cook for 2 1/2 to 3 minutes. Yolks should still be soft in center. Remove eggs from water with a slotted spoon and set on a warm plate
While eggs are poaching, brown the bacon in a medium skillet over medium-high heat and toast the English muffins on a baking sheet under the broiler.
Spread toasted muffins with softened butter, and top each one with a slice of bacon, followed by one poached egg. Place 2 muffins on each plate and drizzle with hollandaise sauce. Sprinkle with chopped chives and serve immediately.",30,,,,"Egg,Lemon Juice,Pepper,Worcestershire Sauce,Water,Butter,Salt,Egg,Vinegar,Bacon,Muffin,Butter",,https://images.media-allrecipes.com/userphotos/560x315/828993.jpg
Banana Frittata  ,"In a bowl, combine the flour, salt and sugar. Gradually pour in the milk, stirring constantly, until a smooth batter is formed. Add the eggs, one at time, stirring well each addition. Stir in sliced bananas.
Heat oil and butter in a nine inch non-stick skillet over medium heat. Pour the mixture in by spoonfuls, spreading the mixture evenly across the pan. When the bottom has turned a golden brown, turn the frittata and cook over low heat until golden brown on the other side. Sprinkle with sugar and serve warm.",30,,,,"Flour,Salt,White Sugar,Milk,Egg,Banana,Vegetable Oil,Butter",,https://images.media-allrecipes.com/userphotos/560x315/388920.jpg
Sweet Pea and Noodle Salad  ,"In a large pot of salted boiling water, cook pasta until al dente, rinse under cold water and drain.
In a mixing bowl, combine the pasta, peas, onions, mayonnaise and dash of hot sauce. Mix well and chill before serving.",60,,,,"Pasta,Pea,Onion,Mayonnaise,Hot Pepper",,https://images.media-allrecipes.com/userphotos/560x315/649321.jpg
Grandmother's Pound Cake II,"Preheat oven to 350 degrees F (175 degrees C). Grease 3 - 8x4 inch loaf pans, then line with parchment paper.
In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the eggs one at a time.  Beat in the flour alternately with the milk, mixing just until incorporated.
Pour batter evenly into prepared loaf pans. Bake in the preheated oven for 70 minutes, or until a toothpick inserted into the center of the cakes comes out clean.  After removing them from the oven, immediately loosen cake edges with a knife.  Allow to cool in pans for 10 minutes, then remove from the pans.  Strip off the parchment paper and cool completely on wire racks.",100,,,,"Butter,White Sugar,Egg,Flour,Milk",,https://images.media-allrecipes.com/userphotos/560x315/640745.jpg
Green Goddess Dressing III  ,"Puree vinegars, onions, parsley, anchovies, garlic, salt, and lemon juice in a blender until well combined.  Blend in mayonnaise and serve.",10,,,,"Tarragon,White Wine,Green Onion,Parsley,Anchovy,Garlic,Salt,Lemon Juice,Mayonnaise",,https://images.media-allrecipes.com/userphotos/250x250/14770.jpg
Seven Layer Dip II  ,"In a medium bowl, mash the avocados. Mix in lime juice, cilantro, salsa, garlic salt and pepper.
In a small bowl, blend the sour cream and taco seasoning.
In a 9x13 inch dish or on a large serving platter, spread the refried beans. Top with sour cream mixture. Spread on guacamole. Top with tomatoes, green onions, Mexican-style cheese blend and black olives.",20,,,,"Avocado,Lime Juice,Cilantro,Salsa,Garlic,Black Pepper,Sour Cream,Taco,Tomato,Green Onion,Bean,Cheese,Olive",,https://images.media-allrecipes.com/userphotos/560x315/2436045.jpg
Microwave Spiced Nuts  ,"Melt butter in a 4 quart glass casserole dish in the microwave. Stir in the brown sugar, nutmeg, cinnamon and water. Microwave on high for 1 minute. Stir in the nuts so they are well coated. Microwave for 4 to 5  additional minutes on high, stirring every minute.  Spread cooked nuts out onto parchment or waxed paper to cool.",12,,,,"Butter,Brown Sugar,Nutmeg,Cinnamon,Water,Pecan",,https://images.media-allrecipes.com/userphotos/560x315/3035077.jpg
"Watercress, Melon and Almond Salad  ","In a large bowl, whisk together lime juice, sugar, and ginger. Gradually add oil and season with salt and pepper to taste.
Add watercress, watermelon, and cantaloupe to dressing and toss to coat. Transfer salad to plates, sprinkle with sliced almonds and serve immediately.",15,,,,"Lime Juice,White Sugar,Ginger,Vegetable Oil,Watercress,Watermelon,Cantaloupe,Almond",,https://images.media-allrecipes.com/userphotos/560x315/1122326.jpg
Chicken Salad Balsamic  ,"In a large bowl, toss together the chicken, apple, celery, onion and walnuts.
In a small bowl, whisk together the vinegar and oil and pour over the salad.  Season with salt and pepper to taste and mix well.  Let rest 10 to 15 minutes, mix again and chill.",15,,,,"Chicken,Apple,Celery,Green Onion,Walnut,Vinegar,Olive,Pepper",,https://images.media-allrecipes.com/userphotos/560x315/1034759.jpg
Mississippi Hot Caviar  ,"In a mixing bowl, combine the black-eyed peas, green chili pepper, onion, jalapeno pepper, pimento, garlic and Italian-style dressing. Chill the mixture overnight.",812,,,,"Pea,Pepper,Onion,Chili Pepper,Pimento,Garlic,Salad Dressing",,https://images.media-allrecipes.com/userphotos/250x250/57432.jpg
New Twist To An Old Favorite  ,"In a large bowl, toss together the spinach, tomatoes, cucumber, radishes, feta and red pepper.  Top with dressing of choice and enjoy!",15,,,,"Spinach,Tomato,Cucumber,Radish,Cheese,Bell Pepper",,https://images.media-allrecipes.com/userphotos/250x250/636694.jpg
